1932-6203	institution	all	0.8258806254551649	0.3078187985847998	1696.4703582456923	2107
1932-6203	country	all	0.6459864547574384	0.22406268984580544	1696.4703582456923	107
2045-2322	institution	all	0.6994759641491306	0.2938802493287114	1409.3488738746994	1623
2045-2322	country	all	0.5420396999384607	0.17950683733656805	1409.3488738746998	89
0305-1048	institution	all	0.6062347511486504	0.2620711774083427	388.4609789665672	539
0305-1048	country	all	0.505096879485677	0.18038684473073374	388.4609789665671	47
0006-3495	institution	all	0.7062486893458026	0.33152643328713577	169.59072270322272	246
0006-3495	country	all	0.5959593121981512	0.19748565006537386	169.59072270322272	34
1061-4036	institution	all	0.29833802824550887	0.1336306716105523	150.82067951408635	678
1061-4036	country	all	0.18497598157009235	0.1150610197628838	150.82067951408635	53
0028-0836	institution	all	0.36809348680193327	0.16042828428498696	135.3404012576301	605
0028-0836	country	all	0.2741574659025995	0.09894583841407602	135.34040125763013	66
0036-8075	institution	all	0.3296837947824058	0.13769971457110672	110.19121721061887	455
0036-8075	country	all	0.3566296158630569	0.0811666953664059	110.19121721061889	51
